"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2003","2003",80.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2004","2004",80.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2005","2005",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2006","2006",81,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2007","2007",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2008","2008",81.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2009","2009",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2010","2010",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2011","2011",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2012","2012",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2013","2013",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2014","2014",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2016","2016",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2017","2017",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2018","2018",82.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2019","2019",82.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2020","2020",83.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1960","1960",68.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1961","1961",69.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1962","1962",69.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1963","1963",69.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1964","1964",70,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1965","1965",69.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1966","1966",70.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1967","1967",70,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1968","1968",70.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1969","1969",69.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1970","1970",70.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1971","1971",70.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1972","1972",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1973","1973",71.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1974","1974",71.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1975","1975",71.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1976","1976",71.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1977","1977",72.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1978","1978",72.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1979","1979",72.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1980","1980",72.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1981","1981",73,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1982","1982",73.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1983","1983",73.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1984","1984",73.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1985","1985",74.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1986","1986",74.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1987","1987",75,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1988","1988",75.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1989","1989",75.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1990","1990",75.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1991","1991",75.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1992","1992",76.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1993","1993",76.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1994","1994",76.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1995","1995",76.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1996","1996",77.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1997","1997",77.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1998","1998",77.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1999","1999",78.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2000","2000",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2001","2001",78.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2002","2002",78.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2003","2003",78.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2004","2004",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2005","2005",79.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2006","2006",80.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2007","2007",80.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2008","2008",80.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2009","2009",80.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2010","2010",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2011","2011",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2012","2012",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2013","2013",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2014","2014",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2015","2015",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2016","2016",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2017","2017",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2018","2018",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2019","2019",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2020","2020",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2021","2021",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1960","1960",69.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1961","1961",70.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1962","1962",70.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1963","1963",70.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1964","1964",70.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1965","1965",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1966","1966",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1967","1967",71,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1968","1968",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1969","1969",70.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1970","1970",71,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1971","1971",71.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1972","1972",71.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1973","1973",71.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1974","1974",72,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1975","1975",72,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1976","1976",72.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1977","1977",72.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1978","1978",72.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1979","1979",73.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1980","1980",73.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1981","1981",73.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1982","1982",74,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1983","1983",73.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1984","1984",74.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1985","1985",74.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1986","1986",74.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1987","1987",75.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1988","1988",75.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1989","1989",75.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1990","1990",76.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1991","1991",76.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1992","1992",76.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1993","1993",76.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1994","1994",76.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1995","1995",77,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1996","1996",77.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1997","1997",77.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1998","1998",77.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","1999","1999",77.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2000","2000",77.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2001","2001",78.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2002","2002",78.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2003","2003",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2004","2004",79,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2005","2005",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2006","2006",79.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2007","2007",79.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2008","2008",79.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2009","2009",80.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2010","2010",80.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2011","2011",80.7,"B","Break"
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2012","2012",80.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2013","2013",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2014","2014",81.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2015","2015",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2016","2016",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2017","2017",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2018","2018",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2019","2019",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2020","2020",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2021","2021",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1980","1980",75.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1981","1981",75.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1982","1982",75.7,"B","Break"
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1983","1983",76.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1984","1984",76.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1985","1985",76.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1986","1986",76.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1987","1987",76.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1988","1988",76.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1989","1989",77.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1990","1990",77.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1991","1991",77.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1992","1992",77.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1993","1993",77.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1994","1994",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1995","1995",78.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1996","1996",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1997","1997",78.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1998","1998",78.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","1999","1999",78.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2000","2000",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2001","2001",79.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2002","2002",79.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2003","2003",79.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2004","2004",80.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2005","2005",80.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2006","2006",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2007","2007",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2008","2008",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2009","2009",81.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2010","2010",81.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2011","2011",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2012","2012",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2013","2013",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2014","2014",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2015","2015",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2016","2016",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2017","2017",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2018","2018",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2019","2019",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2020","2020",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1960","1960",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1961","1961",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1962","1962",70,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1963","1963",70.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1964","1964",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1965","1965",70.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1966","1966",70.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1967","1967",70.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1968","1968",70,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1969","1969",69.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1970","1970",69.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1971","1971",69.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1972","1972",70.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1973","1973",70.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1974","1974",70.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1975","1975",70.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1976","1976",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1977","1977",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1978","1978",70.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1979","1979",70.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1980","1980",70.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1981","1981",70.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1982","1982",70.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1983","1983",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1984","1984",70.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1985","1985",71.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1986","1986",71.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1987","1987",71.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1988","1988",71.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1989","1989",71.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1990","1990",71.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1991","1991",72,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1992","1992",72.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1993","1993",72.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1994","1994",73.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1995","1995",73.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1996","1996",74,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1997","1997",74.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1998","1998",74.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","1999","1999",74.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2000","2000",75.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2001","2001",75.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2002","2002",75.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2003","2003",75.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2004","2004",75.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2005","2005",76.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2006","2006",76.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2007","2007",77,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2008","2008",77.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2009","2009",77.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2010","2010",77.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2011","2011",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2012","2012",78.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2013","2013",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2014","2014",78.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2015","2015",78.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2016","2016",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2017","2017",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2018","2018",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2019","2019",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2020","2020",78.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2021","2021",77.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1960","1960",72.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1967","1967",72.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1968","1968",73,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1969","1969",73.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1970","1970",73.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1971","1971",73.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1972","1972",73.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1973","1973",73.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1974","1974",73.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1975","1975",74.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1976","1976",73.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1977","1977",74.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1978","1978",74.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1979","1979",74.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1980","1980",74.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1981","1981",74.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1982","1982",74.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1983","1983",74.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1984","1984",74.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1985","1985",74.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","1986","1986",74.7,,
